instance_name,K,interpolant_status,smt2cnf_status,category
6s0,26,none,none,exponential
6s109,11,done,partial,exponential
6s119,25,partial,done,exponential
6s13,5,none,none,exponential
6s184,9,none,none,exponential
6s20,8,none,none,exponential
6s269r,22,none,none,exponential
6s309b046,20,done,done,exponential
6s317b14,16,done,partial,exponential
6s320rb0,8,none,none,exponential
6s320rb1,5,partial,none,exponential
6s339rb19,26,done,done,exponential
6s357r,16,done,partial,exponential
6s41,44,partial,partial,exponential
6s410rb043,7,done,partial,exponential
6s428rb098,5,none,none,exponential
6s54,25,partial,partial,exponential
6s7,13,partial,partial,exponential
abp4p2ff,16,done,partial,exponential
arbitrated_top_n2_w128_d32_e0,17,none,none,exponential
arbitrated_top_n2_w128_d64_e0,15,partial,none,exponential
arbitrated_top_n2_w64_d64_e0,25,none,none,exponential
arbitrated_top_n2_w8_d128_e0,16,none,none,exponential
arbitrated_top_n2_w8_d32_e0,23,none,none,exponential
arbitrated_top_n2_w8_d64_e0,28,none,none,exponential
arbitrated_top_n3_w16_d128_e0,24,none,none,exponential
arbitrated_top_n3_w16_d32_e0,20,none,none,exponential
arbitrated_top_n3_w32_d16_e0,17,none,none,exponential
arbitrated_top_n3_w64_d128_e0,26,none,none,exponential
arbitrated_top_n3_w8_d128_e0,18,none,none,exponential
arbitrated_top_n3_w8_d16_e0,17,none,none,exponential
arbitrated_top_n4_w16_d32_e0,32,none,none,exponential
arbitrated_top_n4_w16_d64_e0,29,none,none,exponential
arbitrated_top_n4_w32_d32_e0,22,none,none,exponential
arbitrated_top_n5_w128_d8_e0,9,partial,partial,exponential
arbitrated_top_n5_w64_d16_e0,17,none,none,exponential
arbitrated_top_n5_w8_d32_e0,22,none,none,exponential
bc57sensorsp1,30,done,partial,exponential
bc57sensorsp1neg,28,done,done,exponential
beemadd4b1,15,partial,none,exponential
beemandrsn4b1,6,partial,partial,exponential
beemcmbrdg1f1,33,none,none,exponential
beemextnc3f1,27,partial,partial,exponential
beemfrogs4f1,9,done,partial,exponential
beemfwt2b2,18,done,partial,exponential
beemlann2f1,24,partial,partial,exponential
beemlmprt8f1,23,none,none,exponential
beemmsmie1f1,21,partial,none,exponential
beemndhm4b3,16,none,none,exponential
beemprdcell2f1,27,done,done,exponential
bj08amba2g4f3,10,partial,none,exponential
bob12s09,5,partial,none,exponential
bobcohdoptdcd4,23,none,none,exponential
boblivear,19,partial,partial,exponential
buggy_ridecore,5,none,none,exponential
cal102,5,none,none,exponential
cal106,5,none,none,exponential
cal112,5,none,none,exponential
cal117,5,done,partial,exponential
cal119,5,done,partial,exponential
cal122,5,partial,none,exponential
cal123,5,partial,none,exponential
cal125,5,partial,none,exponential
cal129,5,partial,none,exponential
cal140,5,none,none,exponential
cal142,5,none,none,exponential
cal143,5,none,none,exponential
cal149,5,none,none,exponential
cal176,5,done,partial,exponential
cal21,11,none,none,exponential
cal33,8,none,none,exponential
cal34,9,none,none,exponential
cal4,5,done,partial,exponential
cal84,5,done,partial,exponential
cal97,5,none,none,exponential
cal99,5,none,none,exponential
circular_pointer_top_w64_d8_e0,12,partial,none,exponential
circular_pointer_top_w8_d16_e0,13,partial,partial,exponential
cmudme2,20,done,done,exponential
eijkbs4863,5,done,none,exponential
eijks1423,9,partial,none,exponential
eijks386,14,done,done,exponential
eijks444,22,done,done,exponential
gen43,11,none,none,exponential
gen44,11,none,none,exponential
intel012,13,done,done,exponential
intel020,11,done,done,exponential
intel040,17,done,done,exponential
irstdme5,16,done,done,exponential
irstdme6,15,done,done,exponential
mentorbm1and,10,done,done,exponential
mentorbm1p09,19,done,partial,exponential
oski15a01b02s,6,done,done,exponential
oski15a01b03s,10,partial,none,exponential
oski15a01b30s,7,done,partial,exponential
oski15a01b42s,6,done,done,exponential
oski15a01b44s,6,done,done,exponential
oski15a01b70s,6,done,partial,exponential
oski15a08b06s,7,none,none,exponential
oski15a08b07s,7,none,none,exponential
oski15a10b14s,12,partial,none,exponential
oski2ub0i,16,done,partial,exponential
oski3b0i,31,none,none,exponential
pdtpmsam2901,8,none,none,exponential
pdtpmsns2,13,partial,none,exponential
pdtvisgigamax3,10,done,done,exponential
pdtvistimeout0,19,none,none,exponential
picorv32_mutAX_nomem-p2,9,done,partial,exponential
picorv32_mutAX_nomem-p5,14,none,none,exponential
picorv32_mutAY_nomem-p6,7,done,partial,exponential
picorv32_mutBX_nomem-p5,9,done,partial,exponential
picorv32_mutBY_nomem-p1,10,done,partial,exponential
picorv32_mutBY_nomem-p3,10,done,partial,exponential
picorv32_mutBY_nomem-p4,12,none,none,exponential
picorv32_mutBY_nomem-p6,8,done,partial,exponential
picorv32_mutBY_nomem-p7,8,done,partial,exponential
picorv32_mutCX_nomem-p0,9,done,partial,exponential
picorv32_mutCY_nomem-p0,9,done,partial,exponential
picorv32_mutCY_nomem-p3,10,done,partial,exponential
qspiflash_dualflexpress_divfive-p007,18,partial,none,exponential
qspiflash_dualflexpress_divfive-p074,16,done,partial,exponential
qspiflash_dualflexpress_divfive-p120,26,done,done,exponential
qspiflash_dualflexpress_divthree-p012,18,partial,none,exponential
qspiflash_dualflexpress_divthree-p034,27,done,partial,exponential
qspiflash_dualflexpress_divthree-p068,30,done,done,exponential
qspiflash_dualflexpress_divthree-p113,33,done,done,exponential
qspiflash_dualflexpress_divthree-p121,25,done,partial,exponential
qspiflash_dualflexpress_divthree-p161,37,done,done,exponential
qspiflash_qflexpress_divfive-p036,31,done,partial,exponential
qspiflash_qflexpress_divfive-p104,17,done,partial,exponential
qspiflash_qflexpress_divfive-p107,27,done,done,exponential
qspiflash_qflexpress_divfive-p113,10,done,partial,exponential
qspiflash_qflexpress_divfive-p121,16,partial,none,exponential
shift_register_top_w128_d16_e0,7,done,partial,exponential
shift_register_top_w16_d16_e0,12,done,partial,exponential
shift_register_top_w16_d32_e0,11,done,partial,exponential
shift_register_top_w16_d64_e0,10,done,partial,exponential
shift_register_top_w16_d8_e0,15,partial,none,exponential
shift_register_top_w32_d16_e0,10,done,partial,exponential
shift_register_top_w64_d8_e0,15,partial,none,exponential
vis_arrays_am2901,12,none,none,exponential
vis_arrays_am2910_p3,43,done,done,exponential
vis_arrays_buf_bug,17,partial,none,exponential
zipcpu-busdelay-p00,20,partial,none,exponential
zipcpu-busdelay-p46,27,partial,none,exponential
zipcpu-busdelay-p47,36,partial,none,exponential
zipcpu-zipmmu-p33,15,partial,none,exponential
zipcpu-zipmmu-p48,12,partial,none,exponential
